Z404993336,CC1=CC(=NO1)C(=O)NC=2C=NN(C)C2
Z1446981563,CS(=O)(=O)NC1CCOC2(CCCC2)C1
Z19739650,CC(OC=1C=CC(C#N)=CC1)C(=O)N
Z133729708,CC(NS(=O)(=O)C)C=1C=CC=CC1Cl
Z168801722,CN1CCN(CC1)C=2C=CC(C#N)=CC2
Z1310763003,CC1(C)CCN1C(=O)NC2=NN=CS2
Z31244728,C1CCCC(CC1)NC=2N=CC=CN2
Z100449516,CC=1OC=CC1C(=O)NCC2=CC=CO2
Z33297786,COCC(=O)NCC=1C=CC(C)=CC1
Z19750454,CC1=CC(NC(=O)CSC=2C=CC=CC2)=NO1
Z277116890,CN1C=CC(=N1)C(=O)NC=2C=CC=C(C2)C(=O)O
Z1428159350,Cl.CC(N)C1=CN(N=N1)C=2C=CC=CC2
Z44602971,CC1=CSC(NC(=O)NC=2C=CC=C(C)C2)=N1
Z1262246128,CCN(CC)C=1C=CC=C(O)C1
Z44592329,O=C(NC=1C=CC=CC1)NC=2C=CC=NC2
Z1245793018,CN(C)C=1C=CN=CC1
Z30624464,O=C(CC=1C=CC=CC1)N2CCC=3C=CC=CC23
Z69092635,CC1=NOC(C)=C1C(=O)NCCC2=CCCCC2
Z363071686,CN(CC(=O)N1CCCCC1)S(=O)(=O)C
Z2064107709,O=C(NC1=NC=CS1)[C@@H]2C[C@H]2C=3C=CC=CC3
Z369263636,CC(NS(=O)(=O)C)C=1C=NN(C)C1C
Z1430613384,CC=1C=CC(NC(=O)C2=CC=CO2)=CC1O
Z240297434,CC=1C=C(ON1)C(=O)NC=2C=CN(C)N2
Z44584192,O=C(NCC1=CC=CO1)NC2CCCCC2
Z45656995,CS(=O)(=O)NC=1C=CC(=CC1)C(=O)N
Z19735981,O=C(COC=1C=CC=CC1)N2CCCC2
Z193091370,CS(=O)(=O)N1CCCC1C(=O)N
Z31792168,O=C(CC1CCCCC1)NC=2C=CC=NC2
Z384362790,O=C(NCC1CCOC1)C=2C=NC=CN2
Z730649594,OC=1C=CC(CCNC(=O)C=2C=CC=CN2)=CC1
Z405825414,CCC(=O)N1CCCC(C1)NS(=O)(=O)C
Z1003146540,NS(=O)(=O)C=1C=CC=CC1OC(F)F
Z381474098,O=C(NC=1C=CC=CN1)C2COCCO2
Z1266933824,Cl.O=C(N1CCCC1)C=2C=NNC2
Z33452549,CC=1C=CC=C(C1)C(=O)NC=2C=CC(C)=CC2O
Z86130391,OC=1C=CC(CNC2CCCCC2)=CC1
Z45527714,CNS(=O)(=O)C=1C=CC=CC1Cl
Z32399802,CC(=O)N1CCC(CC1)C(=O)N
Z123856654,CN(C)C(=O)NC=1C=CC(=CC1)S(=O)(=O)N
Z1262433643,OC1CCN(CC=2C=CSC2)CC1
Z44584202,FC=1C=CC(NC(=O)NCC2=CC=CO2)=CC1
Z1259155959,CC=1NNC(=O)C1CCO
Z203581214,ClC=1C=CC(CC(=O)NC=2N=CC=CN2)=CC1
Z1328968520,CS(=O)(=O)C1=NC=CN1CC2=CSC=N2
Z221603922,COC=1C=CC(=CC1)C(=O)C2CCNCC2
Z123622274,COC=1C=CC=CC1N2CCN(CC#N)CC2
Z422396686,CC1CCCCN1C(=O)C=2SC=NC2C
Z89307993,CC=1OC=CC1C(=O)N2CCC=3C=CC=CC23
Z408255174,CS(=O)(=O)NCC(=O)N1CCCCC1
Z27749656,FC=1C=CC=C(C1)C(=O)NCC=2C=CC=CC2
Z217038356,CC1CN(CCO1)C(=O)CN2C=CC=N2
Z1802166390,C[C@@H]1C[C@H]1C(=O)NCCC=2C=CC(Cl)=CC2
Z466628048,CC1=CSC(CNC(=O)C=2C=CNN2)=N1
Z19735192,FC=1C=CC=C(NC(=O)COC=2C=CC=CC2)C1
Z19735578,CC(OC=1C=CC=CC1)C(=O)N
Z123970702,CC(C)(CO)NC(=O)NC=1C=CC(Cl)=CC1
Z18769001,CC(OC=1C=CC=CC1C#N)C(=O)N
Z29077827,CCCN1C(NC(=O)CC)=NC=2C=CC=CC12
Z437584380,ClC=1C=CC(=CC1)C(=O)N2CCSCC2
